Name,WindSpeed,NW34,NE34,SW34,SE34,NW50,NE50,SW50,SE50,NW64,NE64,SW64,SE64,EconomicDamage
Charley,105,90,90,45,90,60,50,20,40,25,20,10,20,16300000000
Frances,110,160,140,120,160,120,100,75,100,70,60,45,60,9500000000
Gaston,65,50,50,30,30,25,25,20,20,10,10,0,0,160000000
Ivan,105,225,250,125,100,125,125,100,75,90,90,75,50,23300000000
Jeanne,100,180,120,75,130,100,70,50,90,60,45,30,60,810000000
Cindy,65,90,90,40,60,30,30,20,25,20,20,0,0,320000000
Dennis,120,120,110,75,100,75,70,25,50,45,30,20,30,3980000000
Emily,75,100,90,40,100,60,50,0,50,25,0,0,20,1010000000
Katrina,125,200,200,150,150,120,120,75,100,90,90,60,70,161000000000
Rita,100,180,160,120,120,120,100,80,90,75,60,40,60,18500000000
Stan,70,90,75,75,75,45,30,30,30,15,15,15,15,3900000000
Wilma,130,175,175,120,150,100,100,75,100,75,75,60,75,29400000000
Beta,90,50,50,50,50,25,25,25,25,15,15,15,15,319000000
Dean,150,180,180,90,125,100,75,50,100,50,40,30,50,1760000000
Felix,140,100,60,30,100,60,40,20,60,40,20,10,40,720000000
Humberto,80,50,50,25,25,30,30,0,0,15,0,0,0,50000000
Lorenzo,65,40,40,60,40,15,30,30,15,10,20,20,10,20000000
Dolly,75,120,120,45,45,40,40,30,30,30,20,20,20,1050000000
Gustav,135,155,120,95,125,100,90,50,65,60,45,20,30,7900000000
Hanna,75,150,150,100,100,90,90,60,60,40,0,0,40,160000000
Ike,110,140,120,100,125,90,75,50,75,50,40,30,50,38000000000
Kyle,65,210,210,110,75,75,90,60,45,70,50,40,40,29000000
Paloma,85,80,60,40,70,30,30,30,30,15,15,15,15,588000000
Ida,70,60,50,25,50,30,25,15,25,15,10,0,10,180000000
Alex,95,180,180,120,120,90,90,60,50,50,30,15,15,2500000000
Earl,65,180,180,150,110,100,120,100,70,0,60,0,0,150000000
Igor,75,400,350,350,350,200,180,140,160,75,45,60,75,200000000
Karl,100,80,70,70,80,40,30,30,40,20,15,15,20,5500000000
Richard,85,90,60,50,60,30,20,20,30,15,10,10,15,51000000
Tomas,85,120,60,50,90,50,30,20,40,20,20,0,0,38000000
Irene,95,220,180,100,150,100,90,50,80,60,60,25,50,15800000000
Ernesto,85,140,140,40,70,60,40,20,30,30,20,0,10,20000000
Gordon,65,70,100,80,70,40,50,40,40,20,30,20,20,475000000
Issac,70,180,150,150,140,90,90,60,50,50,60,0,0,2350000000
Sandy,100,240,240,70,120,50,60,40,40,30,30,25,25,70200000000
Arthur,85,110,130,80,60,50,80,50,30,30,35,30,20,21000000
Fay,70,150,150,120,120,50,60,60,60,0,20,20,0,30000000
Gonzalo,95,140,150,110,110,80,80,60,60,50,50,50,40,200000000
Joaquin,115,110,150,120,110,60,60,40,50,35,30,30,30,100000000
Earl,75,120,80,30,80,50,30,0,30,20,0,0,20,300000000
Hermine,70,130,150,60,60,70,110,40,30,30,40,30,0,550000000
Matthew,130,170,150,90,100,70,60,50,60,35,35,30,30,15000000000
Otto,100,50,50,50,50,30,30,30,30,15,15,15,15,138000000
Franklin,70,130,90,50,130,50,50,20,40,30,25,0,0,195000000
Harvey,115,120,90,80,70,60,40,40,40,35,25,20,25,125000000000
Irma,155,150,110,90,150,80,60,40,70,45,40,30,45,64760000000
Katia,65,50,50,50,40,20,20,20,20,10,15,10,10,2500000
Maria,145,110,110,80,90,40,40,30,40,25,25,20,25,91600000000
Nate,75,110,100,40,70,50,50,0,20,30,30,0,0,1100000000
Florence,80,170,150,140,90,100,80,80,60,70,60,60,40,24000000000
Micheal,140,90,140,100,80,60,80,50,50,35,35,25,25,25100000000
Barry,65,90,150,130,70,60,90,0,0,40,40,0,0,600000000
Dorian,160,110,110,70,90,60,50,50,50,35,30,25,25,7000000000
Hanna,80,100,100,50,80,50,30,30,50,25,20,20,25,700000000
Isaias,80,110,110,40,60,50,50,30,30,20,20,20,0,4000000000
Laura,130,120,150,80,80,60,70,40,40,40,50,30,30,19000000000
Nana,65,60,40,20,60,20,20,0,20,10,0,0,10,39000000
Paulette,85,150,100,80,150,80,50,30,80,40,20,0,30,50000000
Sally,95,90,110,80,70,70,40,30,50,35,20,20,25,7300000000
Gamma,65,120,70,0,40,25,0,0,0,15,0,0,0,600000000
Delta,90,100,100,100,80,40,40,30,30,25,25,10,10,10000000000
Zeta,100,130,130,40,60,70,70,20,20,35,35,0,0,4400000000
Eta,120,100,70,50,90,30,30,30,30,20,20,20,20,5500000000
Iota,125,200,130,90,180,80,60,50,70,40,30,20,35,1300000000
Grace,75,140,100,60,80,80,30,20,40,30,20,0,20,2700000000
Ida,130,130,110,80,110,70,60,40,60,45,35,20,30,95000000000
Larry,70,220,220,180,120,120,120,120,80,60,90,0,0,80000000
Nicholas,65,100,120,40,50,50,40,0,30,25,25,0,20,1100000000
Fiona,100,130,130,60,100,60,50,40,50,25,25,20,25,3000000000
Ian,130,130,150,100,150,50,60,70,80,30,40,30,45,92500000000
Julia,80,100,70,60,100,40,30,20,30,30,0,0,20,406000000
Lisa,80,50,50,30,40,25,20,20,25,15,15,0,15,406000000
Nichole,65,390,90,180,300,80,30,20,80,20,20,0,0,1600000000
